movie_title,user_email,size_mb,start_at,end_at
Full Metal Jacket,rodrick_bergnaum@murray.co,613.4245936603365,2021-12-06T19:30:19.099+0100,2021-12-07T15:44:38.177+0100
Rush,nolan.wintheiser@nienow-mante.name,330.524118447188,2021-12-15T04:36:50.500+0100,2021-12-15T05:57:52.266+0100
Star Wars: Episode VII - The Force Awakens,willie.baumbach@dietrich.io,2101.559005489579,2021-12-12T22:32:02.628+0100,2021-12-13T20:37:34.407+0100
The Bridge on the River Kwai,catalina_rath@jones.info,1988.0439476360807,2021-12-04T20:47:05.304+0100,2021-12-05T07:13:25.683+0100
3 Idiots,lowell.keeling@becker-rolfson.org,625.9428853440369,2021-12-25T14:27:16.273+0100,2021-12-26T00:22:56.738+0100
Cidade de Deus,melissa.block@auer.co,785.3942642722961,2021-12-27T01:13:43.730+0100,2021-12-27T11:18:52.167+0100
The Help,lindsey.altenwerth@stoltenberg.name,193.22441935542824,2021-12-02T10:14:09.684+0100,2021-12-03T07:15:58.334+0100
Into the Wild,teodoro@kirlin.net,41.84614303367286,2021-12-15T03:15:45.596+0100,2021-12-15T12:08:05.357+0100
Toy Story,kenyetta_orn@king.name,1960.9273281711194,2021-12-14T06:47:23.628+0100,2021-12-14T11:10:04.371+0100
Rush,gretchen_kreiger@flatley.name,2055.7864450063585,2021-12-17T02:05:20.053+0100,2021-12-17T07:51:20.486+0100
The Dark Knight,lorette@koepp-hessel.co,167.98313277233729,2021-12-22T07:29:38.380+0100,2021-12-22T22:53:48.389+0100
Amadeus,alfred.keebler@padberg-denesik.com,636.266128560564,2021-12-19T20:32:31.389+0100,2021-12-20T14:27:20.060+0100
The Green Mile,tamra@toy.name,2200.3887309070983,2021-12-19T21:31:26.927+0100,2021-12-20T01:19:54.846+0100
The Intouchables,nita@lueilwitz-schuster.biz,515.1830251950083,2021-12-28T23:24:44.756+0100,2021-12-28T23:26:12.028+0100
Amadeus,fredrick.heidenreich@rau.net,299.27721708767723,2021-12-21T20:46:16.807+0100,2021-12-22T15:06:19.118+0100
The Intouchables,angeline@dietrich-johnson.biz,845.4269040321686,2021-12-28T00:50:24.240+0100,2021-12-28T06:18:25.113+0100
Into the Wild,jeremiah@pfeffer.biz,2838.5528782273514,2021-12-28T06:49:35.324+0100,2021-12-29T06:39:09.367+0100
